repo_id	clone_url	mirror_path	archive_path	reference_count	sample_sources
mourisl/Lighter	https://github.com/mourisl/Lighter.git	science/docs/upstream/github-repos/mirrors/mourisl/Lighter.git	science/docs/upstream/github-repos/archives/mourisl--Lighter.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/lighter.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
mourisl/Rcorrector	https://github.com/mourisl/Rcorrector.git	science/docs/upstream/github-repos/mirrors/mourisl/Rcorrector.git	science/docs/upstream/github-repos/archives/mourisl--Rcorrector.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/rcorrector.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
multiqc/multiqc	https://github.com/multiqc/multiqc.git	science/docs/upstream/github-repos/mirrors/multiqc/multiqc.git	science/docs/upstream/github-repos/archives/multiqc--multiqc.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
pezmaster31/bamtools	https://github.com/pezmaster31/bamtools.git	science/docs/upstream/github-repos/mirrors/pezmaster31/bamtools.git	science/docs/upstream/github-repos/archives/pezmaster31--bamtools.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/bamtools.yaml
pontussk/PMDtools	https://github.com/pontussk/PMDtools.git	science/docs/upstream/github-repos/mirrors/pontussk/PMDtools.git	science/docs/upstream/github-repos/archives/pontussk--PMDtools.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/pmdtools.yaml
relipmoc/skewer	https://github.com/relipmoc/skewer.git	science/docs/upstream/github-repos/mirrors/relipmoc/skewer.git	science/docs/upstream/github-repos/archives/relipmoc--skewer.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/skewer.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
rpetit3/fastq-scan	https://github.com/rpetit3/fastq-scan.git	science/docs/upstream/github-repos/mirrors/rpetit3/fastq-scan.git	science/docs/upstream/github-repos/archives/rpetit3--fastq-scan.tar.gz	6	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/20-science/fastq/REFERENCES.md;domain/fastq/tools/fastq_scan.yaml;science/docs/TODO_DOWNLOAD.md
s-andrews/FastQC	https://github.com/s-andrews/FastQC.git	science/docs/upstream/github-repos/mirrors/s-andrews/FastQC.git	science/docs/upstream/github-repos/archives/s-andrews--FastQC.tar.gz	4	configs/ci/registry/tool_registry.toml;domain/fastq/tools/fastqc.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
samtools/bcftools	https://github.com/samtools/bcftools.git	science/docs/upstream/github-repos/mirrors/samtools/bcftools.git	science/docs/upstream/github-repos/archives/samtools--bcftools.tar.gz	3	configs/ci/registry/tool_registry_vcf.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/vcf/tools/bcftools.yaml
samtools/samtools	https://github.com/samtools/samtools.git	science/docs/upstream/github-repos/mirrors/samtools/samtools.git	science/docs/upstream/github-repos/archives/samtools--samtools.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/samtools.yaml
